model,phase,n_inputs,repeat,time_s
cpu,init,10,22,3.999972250312567e-06
cpu,init,10,23,4.400033503770828e-06
cpu,init,10,24,3.7999707274138927e-06
cpu,init,10,25,5.199981387704611e-06
cpu,init,10,26,3.00002284348011e-06
cpu,init,10,27,4.199973773211241e-06
cpu,init,10,28,4.199973773211241e-06
cpu,init,10,29,4.600035026669502e-06
cpu,first_call,10,0,0.6783831000211649
cpu,first_call,10,1,0.6711433000164106
cpu,first_call,10,2,0.650600699998904
cpu,first_call,10,3,0.6716848000069149
cpu,first_call,10,4,0.6868209000094794
cpu,first_call,10,5,0.7612855000188574
cpu,first_call,10,6,0.780537299986463
cpu,first_call,10,7,0.7708669000421651
cpu,first_call,10,8,0.7623845000052825
cpu,first_call,10,9,0.783207600004971
cpu,first_call,10,10,0.7813705999869853
cpu,first_call,10,11,0.8469450999982655
cpu,first_call,10,12,0.7672777000116184
cpu,first_call,10,13,0.7824636999866925
cpu,first_call,10,14,0.7889889999642037
cpu,first_call,10,15,0.8020041999989189
cpu,first_call,10,16,0.7607745000277646
cpu,first_call,10,17,0.705059900006745
